participant;role;gender;financial_ relation;is_successful;origin_continent;residence_continent;origin_country;residence_country;intra-personal-affect;intra-personal-achievement;inter-personal-affect;inter-personal-achievement;affect;achievement;intra-personal;inter-personal
S31;Coder;Man;Unpaid;Yes;Asia;North America;India;United States of America;0;0;1;1;1;1;0;1
S32;Coder;Man;Mostly Unpaid;No;;;Sweden;Sweden;0;0;1;1;1;1;0;1
S33;Coder;woman;Similar Mix of Paid/Unpaid;Yes;North America;North America;United States of America;United States of America;1;1;0;1;1;1;1;1
S34;Coder;Man;Mostly Unpaid;I'm not sure;Europe;Europe;Germany;Germany;0;1;0;1;0;1;1;1
S35;Coder;Man;Paid;No;North America;North America;United States of America;United States of America;0;0;0;1;0;1;0;1
S36;Coder;Man;Unpaid;Yes;North America;North America;United States of America;United States of America;0;1;0;0;0;1;1;0
S37;Coder;Man;Mostly Paid;I'm not sure;North America;North America;Italy;Spain;0;1;1;1;1;1;1;1
S38;Coder;Man;Unpaid;Yes;North America;North America;Canada;Canada;0;0;1;1;1;1;0;1
S39;Coder;Man;Unpaid;Yes;North America;North America;United States of America;United States of America;0;0;0;1;0;1;0;1
S40;Coder;Man;Paid;Yes;North America;North America;United States of America;United States of America;0;0;1;0;1;0;0;1
S41;Coder;Man;Mostly Paid;Yes;North America;North America;United States of America;United States of America;0;0;0;1;0;1;0;1
S42;Coder;Man;Unpaid;Yes;North America;North America;United States of America;United States of America;0;0;1;0;1;0;0;1
S43;NCoder;Man;Unpaid;No;Europe;Europe;Spain;Spain;0;0;0;1;0;1;0;1
S44;Coder;Man;Unpaid;Yes;North America;North America;United States of America;United States of America;0;0;0;1;0;1;0;1
S45;Coder;Man;Mostly Paid;Yes;North America;North America;United States of America;United States of America;0;0;0;1;0;1;0;1
S46;NCoder;;;No;;;;;0;0;0;1;0;1;0;1
S47;Coder;Man;Unpaid;Yes;North America;North America;United States of America;United States of America;0;0;0;1;0;1;0;1
S48;Coder;Man;Unpaid;I'm not sure;North America;North America;United States of America;United States of America;0;0;1;0;1;0;0;1
S49;NCoder;Man;Unpaid;Yes;North America;North America;Mexico;Mexico;0;0;1;0;1;0;0;1
S50;Coder;Man;Unpaid;I'm not sure;North America;North America;United States of America;United States of America;1;0;0;0;1;0;1;0
S51;Coder;Man;Unpaid;I'm not sure;South America;North America;Brazil;United States of America;0;1;0;0;0;1;1;0
S52;Coder;Man;Unpaid;Yes;Europe;Europe;United Kingdom of Great Britain and Northern Ireland;United Kingdom of Great Britain and Northern Ireland;0;1;0;0;0;1;1;0
S53;Coder;Man;Mostly Paid;Yes;Europe;Europe;Finland;Finland;0;0;0;1;0;1;0;1
S54;Coder;woman;Unpaid;Yes;Africa;Africa;Egypt;Egypt;0;0;1;0;1;0;0;1
S55;NCoder;Man;Mostly Paid;Yes;Europe;North America;Germany;United States of America;0;0;1;0;1;0;0;1
S56;Coder;Man;Unpaid;Yes;Europe;Europe;Germany;Germany;0;0;0;1;0;1;0;1
S57;Coder;Man;Similar Mix of Paid/Unpaid;Yes;Europe;North America;Ukraine;United States of America;0;0;1;0;1;0;0;1
S58;Coder;Man;Unpaid;No;Europe;Europe;Latvia;Latvia;0;0;1;0;1;0;0;1
S59;Coder;Man;Unpaid;Yes;Europe;Europe;Germany;Germany;0;0;0;1;0;1;0;1
S60;Coder;Man;Mostly Unpaid;Yes;North America;North America;United States of America;United States of America;0;0;1;0;1;0;0;1
S61;Coder;Man;Unpaid;I'm not sure;Asia;Asia;Indonesia;Indonesia;0;0;0;1;0;1;0;1
S62;NCoder;Man;Paid;Yes;Europe;Europe;Italy;Italy;0;0;0;1;0;1;0;1
S63;Coder;Man;Unpaid;Yes;South America;South America;Brazil;Brazil;1;0;0;0;1;0;1;0
S64;Coder;Man;Unpaid;No;North America;North America;United States of America;United States of America;1;0;0;0;1;0;1;0
S65;NCoder;Man;Unpaid;I'm not sure;North America;North America;United States of America;United States of America;0;0;1;0;1;0;0;1
S66;Coder;Man;Similar Mix of Paid/Unpaid;Yes;Europe;Europe;Russian Federation;Russian Federation;0;0;1;0;1;0;0;1
S67;Coder;Man;Mostly Paid;Yes;North America;North America;United States of America;United States of America;0;0;0;1;0;1;0;1
S68;Coder;Man;Unpaid;I'm not sure;Europe;Europe;Italy;Switzerland;0;0;0;1;0;1;0;1
S69;Coder;Man;Unpaid;Yes;North America;North America;Canada;Canada;1;0;0;0;1;0;1;0
S70;Coder;Man;Unpaid;No;Asia;Asia;India;India;0;0;1;0;1;0;0;1
S71;Coder;Man;Unpaid;No;Europe;Europe;United Kingdom of Great Britain and Northern Ireland;United Kingdom of Great Britain and Northern Ireland;0;0;1;0;1;0;0;1
S72;NCoder;Man;Unpaid;No;North America;North America;United States of America;United States of America;0;0;1;0;1;0;0;1
S73;Coder;;Paid;Yes;Oceania;Oceania;Australia;Australia;0;0;1;0;1;0;0;1
S74;Coder;Man;Unpaid;Yes;Europe;Europe;Germany;Germany;0;0;1;0;1;0;0;1
S75;Coder;Man;Unpaid;Yes;South America;South America;Germany;Germany;0;0;1;0;1;0;0;1
S76;NCoder;Man;Unpaid;Yes;Asia;Oceania;Germany;Germany;0;0;0;1;0;1;0;1
S77;Coder;Man;Unpaid;Yes;North America;North America;Germany;Germany;0;0;0;1;0;1;0;1
S78;Coder;woman;Mostly Paid;Yes;Europe;Europe;Germany;Germany;0;0;1;0;1;0;0;1
S79;Coder;Man;Unpaid;Yes;South America;South America;Germany;Germany;0;0;0;1;0;1;0;1
S80;Coder;Man;Similar Mix of Paid/Unpaid;Yes;North America;North America;Germany;Germany;0;0;0;1;0;1;0;1
S81;Coder;Man;Unpaid;Yes;Asia;Asia;Germany;Germany;0;0;1;0;1;0;0;1
S82;Coder;Man;Unpaid;Yes;Europe;Europe;Germany;Germany;0;1;0;0;0;1;1;0
S83;NCoder;Man;Unpaid;Yes;Europe;Europe;Germany;Germany;0;0;0;1;0;1;0;1
S84;Coder;Man;Paid;Yes;;;Germany;Germany;0;0;0;1;0;1;0;1
S85;Coder;Man;Unpaid;Yes;North America;North America;Germany;Germany;0;0;0;1;0;1;0;1
S86;Coder;woman;Unpaid;Yes;;;Germany;Germany;0;0;0;1;0;1;0;1
S87;Coder;Man;Unpaid;Yes;North America;North America;Germany;Germany;0;0;0;1;0;1;0;1
S88;Coder;Man;Mostly Paid;Yes;Asia;Asia;Germany;Germany;0;0;1;0;1;0;0;1
S89;Coder;woman;Unpaid;Yes;South America;South America;Germany;Germany;0;0;1;0;1;0;0;1
S90;Coder;Man;Unpaid;Yes;Europe;Europe;Germany;Germany;0;0;1;0;1;0;0;1
S91;Coder;Man;Unpaid;Yes;Europe;;Germany;Germany;0;1;0;0;0;1;1;0
S92;Coder;woman;Unpaid;Yes;Europe;Europe;Germany;Germany;0;0;1;0;1;0;0;1
S93;Coder;Man;Unpaid;Yes;North America;North America;Germany;Germany;0;0;0;1;0;1;0;1
S94;Coder;Man;Mostly Unpaid;Yes;Europe;Europe;Germany;Germany;1;0;0;0;1;0;1;0
S95;Coder;woman;Paid;Yes;Asia;Asia;Germany;Germany;0;0;0;1;0;1;0;1
S96;Coder;Man;Unpaid;Yes;Africa;Africa;Germany;Germany;0;0;1;0;1;0;0;1
S97;Coder;Man;Mostly Paid;Yes;North America;North America;Germany;Germany;0;0;1;0;1;0;0;1
S98;Coder;Man;Unpaid;Yes;Europe;Europe;Germany;Germany;0;0;1;0;1;0;0;1
S99;Coder;Man;Unpaid;Yes;North America;North America;Germany;Germany;0;0;1;0;1;0;0;1
S100;Coder;Man;Unpaid;No;North America;North America;Spain;Germany;0;0;1;0;1;0;0;1
S101;Coder;Man;Unpaid;No;North America;North America;Spain;Germany;0;0;0;1;0;1;0;1
S102;NCoder;Man;Unpaid;No;Europe;Europe;Spain;Germany;0;0;1;0;1;0;0;1
S103;Coder;Man;Unpaid;No;Europe;Europe;Spain;Germany;1;0;0;0;1;0;1;0
S104;Coder;;Mostly Unpaid;No;Europe;Europe;Spain;Germany;0;0;0;1;0;1;0;1
S105;NCoder;woman;Unpaid;No;North America;North America;Spain;Germany;0;0;0;1;0;1;0;1
S106;Coder;Man;Unpaid;No;South America;South America;Spain;Germany;0;0;1;0;1;0;0;1
S107;NCoder;woman;Unpaid;No;North America;North America;Spain;Germany;0;0;1;0;1;0;0;1
S108;Coder;Man;Mostly Paid;No;;;Spain;Germany;0;0;0;1;0;1;0;1
S109;Coder;Man;Unpaid;No;Europe;Oceania;Spain;Germany;0;0;1;0;1;0;0;1
S110;Coder;Man;Unpaid;No;Asia;North America;Spain;Germany;0;0;0;1;0;1;0;1
S111;Coder;Man;Unpaid;No;Europe;Europe;Spain;Germany;0;0;1;0;1;0;0;1
S112;Coder;Man;Unpaid;No;South America;South America;Spain;Germany;1;0;0;0;1;0;1;0
S113;Coder;;Similar Mix of Paid/Unpaid;No;North America;North America;Spain;Germany;0;0;0;1;0;1;0;1
S114;NCoder;;;No;;;Spain;Germany;0;0;0;1;0;1;0;1
S115;NCoder;;;No;Europe;Europe;Spain;Germany;0;0;1;0;1;0;0;1
S116;NCoder;Man;Unpaid;No;South America;South America;Spain;Germany;1;0;0;0;1;0;1;0
S117;Coder;Man;Unpaid;No;Europe;Europe;Spain;Germany;0;0;1;0;1;0;0;1
S118;Coder;Man;Unpaid;No;Europe;Europe;Spain;Germany;0;0;0;1;0;1;0;1
S119;NCoder;Man;Paid;No;;North America;Spain;Germany;0;1;0;0;0;1;1;0
S120;Coder;Man;Unpaid;No;South America;South America;Spain;Germany;1;0;0;0;1;0;1;0
S121;Coder;Man;Unpaid;No;Europe;Europe;Spain;Germany;0;0;1;0;1;0;0;1
S122;Coder;Man;Unpaid;No;Europe;Europe;Spain;Germany;0;0;1;0;1;0;0;1
S123;Coder;Man;Similar Mix of Paid/Unpaid;No;Europe;Europe;Spain;Germany;0;0;1;0;1;0;0;1
S124;Coder;woman;Unpaid;No;Asia;Asia;Spain;Germany;0;0;0;1;0;1;0;1
S125;Coder;Man;Mostly Paid;No;Europe;Europe;Spain;Germany;0;0;1;0;1;0;0;1
S126;Coder;Man;Unpaid;No;Europe;Europe;Spain;Germany;1;0;0;0;1;0;1;0
S127;Coder;Man;Mostly Paid;No;;;Spain;Germany;0;0;0;1;0;1;0;1
S128;Coder;Man;Unpaid;No;Europe;Europe;Spain;Germany;0;0;1;0;1;0;0;1
S129;Coder;Man;Paid;No;Europe;Europe;Spain;Germany;0;1;0;0;0;1;1;0
S130;Coder;Man;Paid;No;Europe;Europe;Spain;Germany;0;0;0;1;0;1;0;1
S131;Coder;Man;Mostly Unpaid;No;North America;North America;Spain;Germany;0;0;1;0;1;0;0;1
S132;NCoder;Man;Unpaid;No;North America;North America;Spain;Germany;1;0;0;0;1;0;1;0
S133;Coder;Man;Unpaid;No;Europe;Europe;Spain;Germany;1;0;0;0;1;0;1;0
S134;NCoder;Man;Unpaid;No;Asia;Europe;Spain;Germany;0;1;0;0;0;1;1;0
S135;Coder;Man;Unpaid;No;Europe;Europe;Spain;Germany;0;0;1;0;1;0;0;1
S136;Coder;Man;Paid;No;North America;North America;Spain;Germany;0;0;1;0;1;0;0;1
S137;Coder;Man;Similar Mix of Paid/Unpaid;No;Europe;Europe;Spain;Germany;1;0;0;0;1;0;1;0
S138;Coder;Man;Mostly Paid;No;North America;North America;Spain;Germany;0;0;1;0;1;0;0;1
S139;NCoder;woman;Similar Mix of Paid/Unpaid;No;North America;Europe;Spain;Germany;0;0;1;0;1;0;0;1
S140;Coder;Man;Unpaid;No;North America;North America;Spain;Germany;0;0;1;0;1;0;0;1
S141;Coder;woman;Paid;No;North America;North America;Spain;Germany;1;0;0;0;1;0;1;0
S142;Coder;Man;Unpaid;No;Africa;Africa;Spain;Germany;0;0;1;0;1;0;0;1
S143;Coder;Man;Unpaid;No;South America;South America;Spain;Germany;0;0;0;1;0;1;0;1
S144;Coder;Man;Mostly Paid;No;Europe;Europe;Spain;Germany;1;0;0;0;1;0;1;0
S145;Coder;Man;Unpaid;No;Europe;Europe;Spain;Germany;0;0;1;0;1;0;0;1
S146;Coder;Man;Mostly Unpaid;No;North America;North America;Spain;Germany;0;0;0;1;0;1;0;1
S147;Coder;Man;Paid;No;Europe;Europe;Spain;Germany;0;0;0;1;0;1;0;1
S148;Coder;Man;Unpaid;No;Europe;Europe;Spain;Germany;0;0;0;1;0;1;0;1
S149;Coder;nonbinary;Unpaid;No;Europe;Europe;Spain;Germany;0;0;1;0;1;0;0;1
S150;Coder;Man;Unpaid;I'm not sure;Oceania;Oceania;Brazil;Netherlands;0;0;0;1;0;1;0;1
S151;NCoder;Man;Paid;I'm not sure;North America;North America;Brazil;Netherlands;0;0;0;1;0;1;0;1
S152;Coder;Man;Similar Mix of Paid/Unpaid;I'm not sure;Europe;Europe;Brazil;Netherlands;1;0;0;0;1;0;1;0
S153;NCoder;Man;Unpaid;I'm not sure;Europe;Europe;Brazil;Netherlands;0;1;0;0;0;1;1;0
S154;Coder;Man;Mostly Unpaid;I'm not sure;Europe;Europe;Brazil;Netherlands;0;0;1;0;1;0;0;1
S155;Coder;Man;Mostly Unpaid;I'm not sure;Europe;Europe;Brazil;Netherlands;0;0;1;0;1;0;0;1
S156;Coder;Man;Unpaid;I'm not sure;North America;North America;Brazil;Netherlands;0;0;1;0;1;0;0;1
S157;Coder;Man;Mostly Unpaid;I'm not sure;Europe;Europe;Brazil;Netherlands;0;0;1;0;1;0;0;1
S158;Coder;woman;Mostly Unpaid;I'm not sure;Europe;Europe;Brazil;Netherlands;0;0;0;1;0;1;0;1
S159;Coder;Man;Mostly Paid;I'm not sure;Asia;Asia;Brazil;Netherlands;0;0;1;0;1;0;0;1
S160;Coder;Man;Unpaid;No;North America;North America;United States of America;United States of America;0;0;0;1;0;1;0;1
S161;Coder;Man;Unpaid;No;Europe;Europe;United States of America;United States of America;0;0;1;0;1;0;0;1
S162;Coder;woman;Similar Mix of Paid/Unpaid;No;Europe;Europe;United States of America;United States of America;1;0;0;0;1;0;1;0
S163;Coder;Man;Unpaid;No;Europe;Europe;United States of America;United States of America;0;0;0;1;0;1;0;1
S164;Coder;Man;Unpaid;No;North America;North America;United States of America;United States of America;0;0;0;1;0;1;0;1
S165;Coder;Man;Similar Mix of Paid/Unpaid;No;North America;North America;United States of America;United States of America;0;0;0;1;0;1;0;1
S166;Coder;Man;Unpaid;No;Europe;Europe;United States of America;United States of America;0;0;1;0;1;0;0;1
S167;NCoder;Man;Unpaid;No;South America;South America;United States of America;United States of America;0;0;0;1;0;1;0;1
S168;NCoder;Man;Unpaid;No;South America;North America;United States of America;United States of America;0;0;1;0;1;0;0;1
S169;Coder;Man;Mostly Unpaid;No;Asia;Asia;United States of America;United States of America;0;0;0;1;0;1;0;1
S170;Coder;Man;Unpaid;Yes;South America;South America;United States of America;United States of America;0;0;1;0;1;0;0;1
S171;Coder;Man;Unpaid;Yes;Europe;Europe;United States of America;United States of America;0;0;0;1;0;1;0;1
S172;Coder;Man;Paid;Yes;Europe;Europe;United States of America;United States of America;1;0;0;0;1;0;1;0
S173;Coder;Man;Mostly Unpaid;Yes;Europe;Europe;United States of America;United States of America;1;0;0;0;1;0;1;0
S174;Coder;Man;Unpaid;Yes;North America;North America;United States of America;United States of America;0;0;0;1;0;1;0;1
S175;Coder;Man;Unpaid;Yes;North America;North America;United States of America;United States of America;0;0;0;1;0;1;0;1
S176;Coder;Man;Unpaid;Yes;South America;South America;United States of America;United States of America;0;0;0;1;0;1;0;1
S177;Coder;Man;Mostly Paid;Yes;Europe;Europe;United States of America;United States of America;0;0;1;0;1;0;0;1
S178;Coder;Man;Mostly Unpaid;Yes;North America;North America;United States of America;United States of America;0;0;1;0;1;0;0;1
S179;Coder;Man;Unpaid;Yes;Europe;Europe;United States of America;United States of America;0;0;1;0;1;0;0;1
S180;Coder;Man;Unpaid;I'm not sure;Europe;North America;Tunisia;United States of America;0;0;0;1;0;1;0;1
S181;Coder;;Mostly Unpaid;I'm not sure;South America;South America;Tunisia;United States of America;0;0;0;1;0;1;0;1
S182;Coder;Man;Unpaid;I'm not sure;Europe;Europe;Tunisia;United States of America;0;0;1;0;1;0;0;1
S183;Coder;woman;Mostly Paid;I'm not sure;Asia;Asia;Tunisia;United States of America;0;0;0;1;0;1;0;1
S184;NCoder;woman;Unpaid;I'm not sure;North America;North America;Tunisia;United States of America;0;0;0;1;0;1;0;1
S185;Coder;Man;Unpaid;I'm not sure;Europe;Europe;Tunisia;United States of America;0;0;1;0;1;0;0;1
S186;Coder;Man;Similar Mix of Paid/Unpaid;I'm not sure;Europe;Europe;Tunisia;United States of America;0;0;0;1;0;1;0;1
S187;Coder;Man;Unpaid;I'm not sure;Europe;Europe;Tunisia;United States of America;0;0;1;0;1;0;0;1
S188;Coder;Man;Mostly Paid;I'm not sure;South America;South America;Tunisia;United States of America;0;0;1;0;1;0;0;1
S189;Coder;Man;Unpaid;I'm not sure;Asia;Asia;Tunisia;United States of America;0;0;1;0;1;0;0;1
S190;Coder;Man;Unpaid;I'm not sure;Europe;Europe;Brazil;Brazil;1;0;0;0;1;0;1;0
S191;Coder;Man;Unpaid;I'm not sure;South America;South America;Brazil;Brazil;0;0;1;0;1;0;0;1
S192;Coder;Man;Mostly Paid;I'm not sure;Europe;Europe;Brazil;Brazil;0;0;1;0;1;0;0;1
S193;Coder;Man;Unpaid;I'm not sure;Europe;Europe;Brazil;Brazil;1;0;0;0;1;0;1;0
